id,g_r,r_i,i_z,z_y
59,-0.47527661741143135,-0.3758760420430036,-0.29817940461795445,-0.1900690856905598
60,-0.4736080536578129,-0.37666712772887934,-0.29682267652624716,-0.19080414193668105
61,-0.4720628748768476,-0.37804092828962155,-0.2954619861072132,-0.19171533785902994
62,-0.4705983423909572,-0.3797961329026194,-0.2937581951205388,-0.19264066584537431
63,-0.468940315058461,-0.38134061296080546,-0.2916428952649497,-0.19310851853981603
64,-0.4666202467192164,-0.3822172088287701,-0.2893070997255194,-0.1926090934229876
65,-0.459165048679651,-0.38014076669068686,-0.28447135603160234,-0.18877067090431865
66,-0.4289245619230897,-0.3606135255201295,-0.269138858263851,-0.1718627996985731
67,-0.38765141135665715,-0.32986164685122077,-0.24209437487625252,-0.14344506867266205
68,-0.34335262476412254,-0.30053900798997546,-0.21546755616581237,-0.11550696314235154
69,-0.30336177446036316,-0.2747293996798561,-0.1839451691681191,-0.07947320764305488
70,-0.23122133678869972,-0.22835323302624744,-0.1524759729868279,-0.03145668732364726
71,-0.21513982623202565,-0.2190799990632044,-0.14898376989409456,-0.027739601615259346
72,-0.17224573648995545,-0.1946340612869193,-0.14145319264640932,-0.021471293710362716
73,-0.10676923347302392,-0.15891837272146603,-0.12840091642093654,-0.020576940565391055
74,0.06865625756328342,-0.0580481974310203,-0.0839775897444568,-0.02348113772335836
75,0.1151399991763924,-0.030496652514443667,-0.06977140688839967,-0.021592494049897937
76,0.21574566446757615,0.02447578542096096,-0.03929710302284661,-0.012046073723354311
77,0.27073553299332076,0.052202702358265185,-0.023173499042265178,-0.004454670981175468
78,0.33640200631581507,0.08242491793055251,-0.005679344423782595,0.0028983040886458866
79,0.3980766364697388,0.11063698023342283,0.012232881245495264,0.013508572855194245
80,0.46615221372725557,0.14079851636395802,0.03151639121362848,0.02484281325218518
81,0.5409224907524148,0.1738683509411203,0.05267514237851145,0.03771404646590781
82,0.7312794131684015,0.25895800513340816,0.1044510907959193,0.07402339252378454
83,0.8544452863300549,0.3169033865659614,0.13884505920877643,0.09800430340145994
84,0.9778864398936307,0.4010885325169653,0.18915083754460937,0.12427120298409022
85,1.0714130748143091,0.5487198945710503,0.27082660125431346,0.15670253680602286
86,1.0862802112358736,0.7650759692569338,0.3769793450369363,0.20001231434643074
87,1.0649706590792292,1.0351724405675,0.4892648286535959,0.25314230115821346
88,1.137798198245001,0.9550080551119962,0.46422963950909946,0.23433793381840218
89,-0.44759034026589717,-0.37268155495020494,-0.2800794594517839,-0.18822319531938803
90,-0.3434360496787008,-0.29995198551043245,-0.21036630367797216,-0.11827074331499432
91,0.38459369893361384,0.10646852301893972,0.010448954636665064,0.018803750708947575
92,0.5409352316669711,0.17296039722813816,0.05062083910345194,0.03916583821945352
93,0.725779469566497,0.24972836770215423,0.10310230561768918,0.06229329514280835
94,1.0926900656192657,0.471122160922846,0.2392261399128799,0.14519566759160796
95,1.1992750141790012,0.6951087045305968,0.3551910335018391,0.20328533232029855
96,-0.41529323721709943,-0.3541774507044053,-0.2676679008776759,-0.18447664062723845
97,-0.316379665673054,-0.28458760863226473,-0.1925547130986942,-0.12150183007165083
98,-0.23420101810697957,-0.2334208153905024,-0.10785429504471722,-0.06764517334873688
99,-0.20399499162667212,-0.20850997149659634,-0.07068613249676758,-0.02255867917426002
100,-0.12492438239510051,-0.1600075672194734,-0.05929216115563207,0.00042313248544445514
101,0.002560133958191102,-0.08677038524568559,-0.03093300672912136,0.009852464052016785
102,0.4654747548400522,0.13459373228035076,0.023817452529470984,0.044896097003856994
103,0.7542546339113443,0.24805058168041683,0.09623579417365136,0.06484721474591737
104,0.849437577035161,0.29597020282832887,0.13366530638965202,0.07995689315574595
105,1.3158660777271578,0.624018333735151,0.31918281220664113,0.19005479168249906
106,1.3158660777271578,0.624018333735151,0.31918281220664113,0.19005479168249906
107,1.336741128792248,1.0572439218679648,0.5030618368628765,0.28874879896636685
